Location,botottop,x,y,angle,BLOCK
FU701,2,82.5,98.87,180,
FU701,2,207,98.87,180,
IC101,2,37.25,94.5,180,
IC101,2,161.75,94.5,180,
IC102,2,51.87,43.12,270,
IC102,2,176.37,43.12,270,
IC201,2,37.25,119.5,270,
IC201,2,161.75,119.5,270,
IC301,2,61.12,62.25,90,
IC301,2,185.62,62.25,90,
IC302,2,16.62,49.37,180,
IC302,2,141.12,49.37,180,
IC501,2,62.75,53.25,180,
IC501,2,187.25,53.25,180,
IC502,2,107.12,56.75,270,
IC502,2,231.62,56.75,270,
IC702,2,96.25,23.12,270,
IC702,2,220.75,23.12,270,
ITP1,2,37.75,43,180,
ITP1,2,162.25,43,180,
ITP2,2,62.87,14.35,180,
ITP2,2,187.37,14.35,180,
ITP3,2,25.87,57.87,180,
ITP3,2,150.37,57.87,180,
ITP4,2,57.25,41.12,180,
ITP4,2,181.75,41.12,180,
ITP5,2,54.87,96.5,0,
ITP5,2,179.37,96.5,0,
ITP6,2,25.37,122.87,0,
ITP6,2,149.87,122.87,0,
ITP7,2,30.62,110,0,
ITP7,2,155.12,110,0,
ITP8,2,31.37,108.62,0,
ITP8,2,155.87,108.62,0,
ITP9,2,32.25,110.12,0,
ITP9,2,156.75,110.12,0,
ITP10,2,33.12,108.62,0,
ITP10,2,157.62,108.62,0,
ITP11,2,34,110.12,0,
ITP11,2,158.5,110.12,0,
ITP12,2,34.87,108.62,0,
ITP12,2,159.37,108.62,0,
ITP13,2,35.75,110.12,0,
ITP13,2,160.25,110.12,0,
ITP14,2,36.62,108.62,0,
ITP14,2,161.12,108.62,0,
ITP15,2,37.5,110.12,0,
ITP15,2,162,110.12,0,
ITP16,2,47.25,90.37,0,
ITP16,2,171.75,90.37,0,
ITP17,2,27.12,112.87,0,
ITP17,2,151.62,112.87,0,
ITP18,2,56.87,47.37,180,
ITP18,2,181.37,47.37,180,
ITP19,2,40.12,132.87,0,
ITP19,2,164.62,132.87,0,
ITP20,2,54,100.12,0,
ITP20,2,178.5,100.12,0,
ITP21,2,30.5,46,180,
ITP21,2,155,46,180,
ITP22,2,50.5,84.5,0,
ITP22,2,175,84.5,0,
ITP23,2,41.5,31,180,
ITP23,2,166,31,180,
ITP24,2,27,116.82,0,
ITP24,2,151.5,116.82,0,
ITP25,2,40.75,107.25,0,
ITP25,2,165.25,107.25,0,
ITP26,2,43.5,31,180,
ITP26,2,168,31,180,
ITP27,2,45.12,20.5,180,
ITP27,2,169.62,20.5,180,
ITP28,2,30.5,28,180,
ITP28,2,155,28,180,
ITP29,2,62.37,58.12,180,
ITP29,2,186.87,58.12,180,
ITP30,2,64.37,16.12,180,
ITP30,2,188.87,16.12,180,
ITP31,2,28.25,24.5,180,
ITP31,2,152.75,24.5,180,
ITP32,2,17.75,120.37,0,
ITP32,2,142.25,120.37,0,
ITP33,2,34.87,23,180,
ITP33,2,159.37,23,180,
ITP34,2,53.87,83.87,0,
ITP34,2,178.37,83.87,0,
ITP35,2,53.12,16,180,
ITP35,2,177.62,16,180,
ITP36,2,40,62,180,
ITP36,2,164.5,62,180,
ITP37,2,27.5,52,180,
ITP37,2,152,52,180,
ITP38,2,38.87,84.5,0,
ITP38,2,163.37,84.5,0,
ITP39,2,42,105.87,0,
ITP39,2,166.5,105.87,0,
ITP40,2,19,14,180,
ITP40,2,143.5,14,180,
ITP41,2,67,12.62,180,
ITP41,2,191.5,12.62,180,
ITP42,2,61.37,19,180,
ITP42,2,185.87,19,180,
ITP43,2,77.87,36.25,180,
ITP43,2,202.37,36.25,180,
ITP44,2,36.75,84.87,0,
ITP44,2,161.25,84.87,0,
ITP45,2,40.25,34.25,180,
ITP45,2,164.75,34.25,180,
ITP46,2,36.62,27,180,
ITP46,2,161.12,27,180,
ITP47,2,100.37,84.75,0,
ITP47,2,224.87,84.75,0,
ITP48,2,47.12,46.25,180,
ITP48,2,171.62,46.25,180,
ITP49,2,19.5,45.25,180,
ITP49,2,144,45.25,180,
ITP50,2,109.25,39,180,
ITP50,2,233.75,39,180,
ITP51,2,49.12,91.25,0,
ITP51,2,173.62,91.25,0,
ITP52,2,36,52.62,180,
ITP52,2,160.5,52.62,180,
ITP53,2,26.5,16.62,180,
ITP53,2,151,16.62,180,
ITP54,2,54.87,61.25,180,
ITP54,2,179.37,61.25,180,
ITP55,2,50.25,94.5,0,
ITP55,2,174.75,94.5,0,
ITP56,2,45.37,24.87,180,
ITP56,2,169.87,24.87,180,
ITP57,2,99.12,86.25,0,
ITP57,2,223.62,86.25,0,
ITP58,2,30,84.62,0,
ITP58,2,154.5,84.62,0,
ITP59,2,105.87,12.62,180,
ITP59,2,230.37,12.62,180,
ITP60,2,84.25,90.25,0,
ITP60,2,208.75,90.25,0,
ITP61,2,38.25,31.62,180,
ITP61,2,162.75,31.62,180,
ITP62,2,28.5,58.62,180,
ITP62,2,153,58.62,180,
ITP63,2,70.62,16.25,180,
ITP63,2,195.12,16.25,180,
ITP64,2,24.25,124.62,0,
ITP64,2,148.75,124.62,0,
ITP65,2,62.5,40.5,180,
ITP65,2,187,40.5,180,
ITP66,2,69.87,62,180,
ITP66,2,194.37,62,180,
ITP67,2,48.62,100.75,0,
ITP67,2,173.12,100.75,0,
ITP68,2,50.62,92.62,0,
ITP68,2,175.12,92.62,0,
ITP69,2,77.25,16.62,180,
ITP69,2,201.75,16.62,180,
ITP70,2,83.5,92.12,0,
ITP70,2,208,92.12,0,
ITP71,2,99.12,88.37,0,
ITP71,2,223.62,88.37,0,
ITP72,2,20.75,19.75,180,
ITP72,2,145.25,19.75,180,
ITP73,2,68.37,57.87,180,
ITP73,2,192.87,57.87,180,
ITP74,2,71.75,53.25,180,
ITP74,2,196.25,53.25,180,
ITP75,2,110.62,61.5,180,
ITP75,2,235.12,61.5,180,
ITP76,2,106.25,91.62,0,
ITP76,2,230.75,91.62,0,
ITP77,2,19.37,25.25,180,
ITP77,2,143.87,25.25,180,
ITP78,2,24.62,50.62,180,
ITP78,2,149.12,50.62,180,
ITP79,2,40,49.75,180,
ITP79,2,164.5,49.75,180,
ITP80,2,90.75,55.75,180,
ITP80,2,215.25,55.75,180,
ITP81,2,104.12,59,180,
ITP81,2,228.62,59,180,
ITP82,2,33.35,18.12,180,
ITP82,2,157.85,18.12,180,
ITP83,2,28,18.37,180,
ITP83,2,152.5,18.37,180,
ITP84,2,14.25,130.12,0,
ITP84,2,138.75,130.12,0,
ITP85,2,47.37,128.37,0,
ITP85,2,171.87,128.37,0,
ITP86,2,42.25,45,180,
ITP86,2,166.75,45,180,
ITP87,2,27.25,88.75,0,
ITP87,2,151.75,88.75,0,
ITP88,2,39,103.65,0,
ITP88,2,163.5,103.65,0,
ITP89,2,37.62,105.1,0,
ITP89,2,162.12,105.1,0,
ITP90,2,36.62,103.72,0,
ITP90,2,161.12,103.72,0,
