Location,topBot,x,y,angle,Block
C47,2,109.25,58.4,90,
C47,2,46.75,58.4,90,
C48,2,89.3,58.7,270,
C48,2,26.8,58.7,270,
C49,2,94.5,58.7,270,
C49,2,32,58.7,270,
C50,2,98.8,43.3,270,
C50,2,36.3,43.3,270,
C51,2,100.2,114,0,
C51,2,37.7,114,0,
C52,2,102.55,35.7,90,
C52,2,40.05,35.7,90,
C53,2,88.1,58.7,270,
C53,2,25.6,58.7,270,
C54,2,112.45,134.85,270,
C54,2,49.95,134.85,270,
C55,2,96.5,58.7,270,
C55,2,34,58.7,270,
C56,2,95.5,58.7,270,
C56,2,33,58.7,270,
C57,2,100.5,58.7,270,
C57,2,38,58.7,270,
C58,2,98.5,58.7,270,
C58,2,36,58.7,270,
C59,2,97.5,58.7,270,
C59,2,35,58.7,270,
C60,2,99.5,57,90,
C60,2,37,57,90,
C61,2,83.8,28.9,0,
C61,2,21.3,28.9,0,
C62,2,101.7,58.7,270,
C62,2,39.2,58.7,270,
C63,2,92.35,23.35,270,
C63,2,29.85,23.35,270,
C64,2,82.25,27.25,270,
C64,2,19.75,27.25,270,
C65,2,100.65,115.45,90,
C65,2,38.15,115.45,90,
C66,2,91.55,23.35,270,
C66,2,29.05,23.35,270,
C67,2,100.2,113,180,
C67,2,37.7,113,180,
C68,2,83.25,27.25,270,
C68,2,20.75,27.25,270,
C69,2,84.25,27.25,270,
C69,2,21.75,27.25,270,
C70,2,104,34.75,180,
C70,2,41.5,34.75,180,
C73,2,112.55,36.05,0,
C73,2,50.05,36.05,0,
C75,2,94.8,116.55,180,
C75,2,32.3,116.55,180,
C78,2,111.25,134.85,270,
C78,2,48.75,134.85,270,
C79,2,100,110.8,0,
C79,2,37.5,110.8,0,
C80,2,115.8,47.9,180,
C80,2,53.3,47.9,180,
C82,2,98.5,41.55,180,
C82,2,36,41.55,180,
C83,2,107.2,54.1,270,
C83,2,44.7,54.1,270,
C84,2,116,16,270,
C84,2,53.5,16,270,
C85,2,114.6,16,270,
