Location,top_bot,x,y,Theta
Q604,2,66.67,114.7,270
Q604,2,215.17,114.7,270
Q604,2,215.17,19.2,270
Q605,2,64.8,9.5,270
Q605,2,64.8,105,270
Q605,2,213.3,105,270
Q605,2,213.3,9.5,270
Q701,2,48.87,72,270
Q701,2,48.87,167.5,270
Q701,2,197.37,167.5,270
Q701,2,197.37,72,270
Q702,2,60.8,48.4,270
Q702,2,60.8,143.9,270
Q702,2,209.3,143.9,270
Q702,2,209.3,48.4,270
Q703,2,53.45,39,270
Q703,2,53.45,134.5,270
Q703,2,201.95,134.5,270
Q703,2,201.95,39,270
Q704,2,62.25,72,90
Q704,2,62.25,167.5,90
Q704,2,210.75,167.5,90
Q704,2,210.75,72,90
Q705,2,53.27,71.75,270
Q705,2,53.27,167.25,270
Q705,2,201.77,167.25,270
Q705,2,201.77,71.75,270
Q706,2,18.12,52.62,90
Q706,2,18.12,148.12,90
Q706,2,166.62,148.12,90
Q706,2,166.62,52.62,90
Q707,2,18.07,59.72,90
Q707,2,18.07,155.22,90
Q707,2,166.57,155.22,90
Q707,2,166.57,59.72,90
Q708,2,18.17,66.92,90
Q708,2,18.17,162.42,90
Q708,2,166.67,162.42,90
Q708,2,166.67,66.92,90
Q801,2,99.2,44.1,270
Q801,2,99.2,139.6,270
Q801,2,247.7,139.6,270
Q801,2,247.7,44.1,270
Q802,2,78.4,44.1,270
Q802,2,78.4,139.6,270
Q802,2,226.9,139.6,270
Q802,2,226.9,44.1,270
Q803,2,89.8,49.4,270
Q803,2,89.8,144.9,270
Q803,2,238.3,144.9,270
Q803,2,238.3,49.4,270
R101,2,104.7,85.4,270
R101,2,104.7,180.9,270
R101,2,253.2,180.9,270
R101,2,253.2,85.4,270
R201,2,127.4,81.2,90
R201,2,127.4,176.7,90
R201,2,275.9,176.7,90
R201,2,275.9,81.2,90
R202,2,125.2,75.6,270
R202,2,125.2,171.1,270
R202,2,273.7,171.1,270
R202,2,273.7,75.6,270
R204,2,121.6,75.6,270
R204,2,121.6,171.1,270
R204,2,270.1,171.1,270
R204,2,270.1,75.6,270
R211,2,106.4,71.3,90
R211,2,106.4,166.8,90
R211,2,254.9,166.8,90
R211,2,254.9,71.3,90
R212,2,106.4,68.2,90
R212,2,106.4,163.7,90
R212,2,254.9,163.7,90
R212,2,254.9,68.2,90
R213,2,109.1,63.5,90
R213,2,109.1,159,90
R213,2,257.6,159,90
R213,2,257.6,63.5,90
R214,2,110.7,63.5,90
R214,2,110.7,159,90
R214,2,259.2,159,90
R214,2,259.2,63.5,90
R215,2,114.7,64.5,90
R215,2,114.7,160,90
R215,2,263.2,160,90
R215,2,263.2,64.5,90
R216,2,112.4,50.1,90
R216,2,112.4,145.6,90
